t,chi_tdvp,chi_bug,z_exact_1,z_tdvp_1,z_bug_1,err2_tdvp_1,err2_bug_1,z_exact_4,z_tdvp_4,z_bug_4,err2_tdvp_4,err2_bug_4,z_exact_8,z_tdvp_8,z_bug_8,err2_tdvp_8,err2_bug_8
0.4,3.0,3.0,0.8551879210566132,0.8551879210361989,0.8551902265329472,4.1674515056032514e-22,5.315221126415084e-12,-0.8758773549067483,-0.875877354308971,-0.8758789843693777,3.5733779980437433e-19,2.6551484605532797e-12,-0.8551879210566119,-0.8551879210362012,-0.8551902458577698,4.1659557850210905e-22,5.404700423846547e-12
0.41,3.0,3.0,0.8484686585808026,0.8484686585583193,0.8484710606012286,5.054959682110007e-22,5.769702126953308e-12,-0.8710853310205904,-0.8710853301938323,-0.8710869966260808,6.835289665316801e-19,2.7742416497159437e-12,-0.8484686585808012,-0.8484686585583193,-0.8484710803209466,5.054360626068963e-22,5.864825331937073e-12
0.42,3.0,3.0,0.8416420211611265,0.8416420211357748,0.8416445173294861,6.427097436023102e-22,6.230856479303448e-12,-0.8663008947593566,-0.8663008936409401,-0.8663025939837407,1.250855401590563e-18,2.887363507481071e-12,-0.8416420211611251,-0.8416420211357752,-0.8416445379469633,6.426140505467055e-22,6.334210955264758e-12
0.43,3.0,3.0,0.8347119121943879,0.8347119121651346,0.8347145034224009,8.55753599506987e-22,6.714462615610482e-12,-0.861530196829783,-0.8615301953469819,-0.8615319272926983,2.1986991143930613e-18,2.9945019012104832e-12,-0.834711912194386,-0.8347119121651358,-0.8347145258298575,8.55571734330606e-22,6.8310903778485426e-12
0.44,3.0,3.0,0.8276822854265673,0.8276822853920985,0.8276849732705741,1.18809549718942e-21,7.224505404944988e-12,-0.8567792342351293,-0.8567792323042952,-0.8567809921035529,3.728120121698873e-18,3.090101394696724e-12,-0.8276822854265652,-0.8276822853921002,-0.8276849964296927,1.1878352889546426e-21,7.34953795754443e-12
0.45,3.0,3.0,0.8205571421571202,0.8205571421157896,0.8205599272141035,1.708218959645315e-21,7.756542400604734e-12,-0.8520538384946206,-0.8520538360203054,-0.8520556206935412,6.122235694977219e-18,3.1762329928139555e-12,-0.8205571421571182,-0.8205571421157909,-0.8205599510396655,1.7079436535988876e-21,7.889821164716428e-12
0.46,3.0,3.0,0.8133405284140002,0.8133405283637658,0.8133434110036476,2.523492152088036e-21,8.309323075435027e-12,-0.8473596644724197,-0.8473596613465019,-0.8473614679525777,9.771362454297563e-18,3.252540680268563e-12,-0.8133405284139988,-0.8133405283637662,-0.8133434354835709,2.5233136869021563e-21,8.451053496836457e-12
0.47,3.0,3.0,0.8060365321016266,0.8060365320399813,0.8060395123561825,3.800149853108336e-21,8.881917218067973e-12,-0.8427021798416517,-0.8427021759424692,-0.842704001528144,1.5203624421031827e-17,3.3185416758980914e-12,-0.806036532101625,-0.8060365320399815,-0.8060395374965217,3.799917160354259e-21,9.032398485271484e-12
0.48,3.0,3.0,0.7986492801240791,0.7986492800479857,0.7986523580130143,5.790198498646635e-21,9.47340029721542e-12,-0.8380866552067303,-0.8380866503982559,-0.8380884919976861,2.3121426021159755e-17,3.3738010152284312e-12,-0.7986492801240773,-0.7986492800479847,-0.7986523838270747,5.790080226419771e-21,9.632972295987967e-12
0.49,3.0,3.0,0.7911829354857963,0.7911829353916222,0.7911861108236472,8.868763550355684e-21,1.0082770467233192e-11,-0.8335181549047472,-0.8335181490357975,-0.8335200036781675,3.444457141000741e-17,3.4179631593979426e-12,-0.7911829354857945,-0.7911829353916215,-0.791186137328724,8.868554443051232e-21,1.0251798144911788e-11
0.5,3.0,3.0,0.7836416943720745,0.7836416942554906,0.7836449668201216,1.3591820826191043e-20,1.0708916220955717e-11,-0.8290015285042901,-0.8290015214077684,-0.8290033861268734,5.0360620289793174e-17,3.4507616620316218e-12,-0.7836416943720729,-0.7836416942554912,-0.7836449940362922,1.3591277207978737e-20,1.0887783960147378e-11
0.51,3.0,3.0,0.776029783211679,0.7760297830675789,0.7760331522769177,2.0764860791216028e-20,1.135060058247274e-11,-0.8245414030175411,-0.8245413945097582,-0.8245432663540653,7.238237025819592e-17,3.4720230023739176e-12,-0.7760297832116776,-0.7760297830675784,-0.7760331802265759,2.0764572822214113e-20,1.1539710219036968e-11
0.52,3.0,3.0,0.7683514557238798,0.7683514555462677,0.7683549207566011,3.154603539941597e-20,1.2006451759720837e-11,-0.8201421758390166,-0.820142165719096,-0.8201440417617111,1.0241279230683678e-16,3.481667501723896e-12,-0.7683514557238783,-0.7683514555462662,-0.7683549494642727,3.15460748372227e-20,1.220622194369641e-11
0.53,3.0,3.0,0.7606109899522622,0.7606109897341515,0.7606145501428304,4.7572251568930045e-20,1.2674956882195144e-11,-0.8158080084218434,-0.8158079964712359,-0.8158098738195537,1.4281701970476088e-16,3.4797086175884596e-12,-0.7606109899522605,-0.7606109897341506,-0.7606145796351427,4.757191255749677e-20,1.2885823194513934e-11
0.54,3.0,3.0,0.7528126852876276,0.7528126850209008,0.7528163396627632,7.114316012385721e-20,1.3354457631756164e-11,-0.8115428206998837,-0.811542806681988,-0.811544682486925,1.965014007833932e-16,3.4662509872006465e-12,-0.7528126852876258,-0.7528126850209004,-0.7528163699684769,7.114244942279744e-20,1.3576872974474209e-11
0.55,3.0,3.0,0.7449608594823405,0.7449608591576233,0.7449646069010569,1.0544122235017694e-19,1.4043147036390709e-11,-0.8073502862615979,-0.8073502699215724,-0.8073521413862302,2.6699643150459662e-16,3.4414874015704333e-12,-0.7449608594823387,-0.7449608591576233,-0.7449646380511364,1.0544006872630004e-19,1.4277582159261613e-11
