t,ADAPTIVE,DOUBLEADAPTIVE,DOUBLEFIXED,FIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
4,-3.297362383136715e-14,1.554312234475219e-14,-1.591816300994253e-08,5.734301922188934e-14,3.591571484662381e-14,-4.729550084903167e-14
4.1,-5.773159728050814e-15,4.851674617611934e-14,1.260358345467338e-08,4.496403249731884e-14,3.15858450505857e-14,-6.111777750561487e-14
4.2,2.586819647376615e-14,6.261657858885883e-14,3.489038225001906e-08,2.081668171172169e-14,2.90878432451791e-14,-4.302114220422482e-14
4.3,2.781108676686017e-14,4.957145804951324e-14,4.062240233082548e-08,-1.149080830487037e-14,2.797762022055394e-14,-4.662936703425657e-15
4.4,-1.315614284180811e-14,1.865174681370263e-14,2.762754491847375e-08,-4.329869796038111e-14,2.55351295663786e-14,2.775557561562891e-14
4.5,-7.710498906021712e-14,-7.716050021144838e-15,6.231494209529842e-10,-6.772360450213455e-14,1.765254609153999e-14,3.669287096386142e-14
4.6,-1.190159082398168e-13,-1.582067810090848e-14,-3.105494439381573e-08,-7.649436639667329e-14,4.329869796038111e-15,1.665334536937735e-14
4.7,-9.980904991380157e-14,-8.604228440844963e-15,-5.876836967066978e-08,-1.870725796493389e-14,-1.199040866595169e-14,-1.992850329202156e-14
4.8,-1.909583602355269e-14,3.774758283725532e-15,-7.815225511187407e-08,7.382983113757291e-15,-2.55351295663786e-14,-4.996003610813204e-14
4.9,7.754907827006718e-14,9.103828801926284e-15,-8.845401106016837e-08,2.181588243388433e-14,-2.930988785010413e-14,-5.534461777756405e-14
5,1.29174448915137e-13,4.329869796038111e-15,-8.92642717520431e-08,2.653433028854124e-14,-2.498001805406602e-14,-3.314015728506092e-14
5.1,1.049160758270773e-13,-3.774758283725532e-15,-7.924594758179637e-08,2.836619827917275e-14,-1.282307593442056e-14,-3.441691376337985e-15
5.2,2.3037127760972e-14,-9.436895709313831e-15,-5.777721512334466e-08,3.347322419244847e-14,6.328271240363392e-15,1.149080830487037e-14
5.3,-6.583622536027178e-14,-4.107825191113079e-15,-2.716409619463178e-08,4.091171845743702e-14,1.48769885299771e-14,2.997602166487923e-15
5.4,-1.070254995738651e-13,8.604228440844963e-15,5.860977703164849e-09,4.529709940470639e-14,1.426636586643326e-14,-2.225997164373439e-14
5.5,-8.248957072964913e-14,1.398881011027697e-14,3.275961107940262e-08,3.941291737419306e-14,3.219646771412954e-15,-4.485301019485632e-14
5.6,-1.443289932012704e-14,7.049916206369744e-15,4.807107623072682e-08,1.965094753586527e-14,-1.437738816889578e-14,-4.823919041996305e-14
5.7,5.428990590417015e-14,-5.995204332975845e-15,5.18362923696003e-08,-7.382983113757291e-15,-3.286260152890463e-14,-3.008704396734174e-14
5.8,8.520961713998076e-14,-1.476596622751458e-14,4.945122011879022e-08,-2.992051051364797e-14,-4.690692279041286e-14,-1.221245327087672e-15
5.9,6.783462680459706e-14,-1.398881011027697e-14,4.884787047076955e-08,-3.447242491461111e-14,-5.06816810741384e-14,2.042810365310288e-14
6,2.51465515077598e-14,-1.243449787580175e-14,5.538925523795868e-08,-2.076117056049043e-14,-4.518607710224387e-14,2.242650509742816e-14
6.1,-9.769962616701378e-15,-2.287059430727822e-14,6.798278323616458e-08,8.326672684688674e-16,-3.008704396734174e-14,3.558264793923627e-14
6.2,-1.748601263784622e-14,-4.96269692007445e-14,7.95097768735431e-08,1.576516694967722e-14,-8.881784197001252e-15,2.259303855112194e-14
6.3,0,-8.154588115871775e-14,8.203570267539817e-08,1.582067810090848e-14,1.432187701766452e-14,2.892130979148533e-14
6.4,1.942890293094024e-14,-9.026113190202523e-14,7.200135959672949e-08,1.032507412901396e-14,3.508304757815495e-14,5.007105841059456e-14
6.5,2.037259250187162e-14,-5.651035195342047e-14,5.209535791639297e-08,1.221245327087672e-15,4.829470157119431e-14,6.877831637552845e-14
6.6,3.663735981263017e-15,1.648681191568357e-14,2.967377510376679e-08,-3.51385587293862e-14,5.129230373768223e-14,6.550315845288424e-14
6.7,-1.271205363195804e-14,9.547918011776346e-14,1.231789942268691e-08,-5.151434834260726e-14,4.296563105299356e-14,3.402833570476105e-14
6.8,-1.459943277382081e-14,1.428857032692576e-13,3.962577488358932e-09,-5.262457136723242e-14,2.742250870824137e-14,-1.071365218763276e-14
6.9,-2.498001805406602e-15,1.29174448915137e-13,2.813616062358193e-09,4.496403249731884e-15,8.215650382226158e-15,-4.08006961549745e-14
7,6.772360450213455e-15,5.861977570020827e-14,3.366293133133524e-09,-3.608224830031759e-15,-7.327471962526033e-15,-3.735900477863652e-14
7.1,-1.459943277382081e-14,-3.025357742103552e-14,8.942582230275775e-10,-2.076117056049043e-14,-1.482147737874584e-14,-4.6074255521944e-15
7.2,-7.427392034742297e-14,-8.970602038971265e-14,-4.487960503229971e-09,-3.980149543281186e-14,-1.348920974919565e-14,3.635980405647388e-14
7.3,-1.43607348235264e-13,-8.559819519859957e-14,-6.746325165174483e-09,-5.218048215738236e-14,-5.551115123125783e-15,5.21249710061511e-14
7.4,-1.749711486809247e-13,-2.137179322403426e-14,1.999811927166917e-09,-5.256906021600116e-14,3.33066907387547e-15,2.581268532253489e-14
7.5,-1.392774784392259e-13,6.455946888195285e-14,2.360667950007667e-08,-4.213296378452469e-14,9.103828801926284e-15,-3.091971123581061e-14
7.6,-4.912736883966318e-14,1.191269305422793e-13,5.08259484499618e-08,-2.636779683484747e-14,8.770761894538737e-15,-8.276712648580542e-14
7.7,5.034861416675085e-14,1.134092819654597e-13,7.157792747403136e-08,-8.992806499463768e-15,4.218847493575595e-15,-9.670042544485113e-14
7.8,1.058042542467774e-13,5.25135490647699e-14,7.557820524972669e-08,2.664535259100376e-15,-1.110223024625157e-16,-6.294964549624638e-14
7.9,9.758860386455126e-14,-2.3037127760972e-14,5.975912381606108e-08,5.773159728050814e-15,-2.664535259100376e-15,-1.221245327087672e-15
8,4.113376306236205e-14,-7.005507285384738e-14,2.954187783288376e-08,4.218847493575595e-15,-4.996003610813204e-15,4.568567746332519e-14
8.1,-2.009503674571533e-14,-6.611378111642807e-14,-4.449643320469931e-09,3.108624468950438e-15,-5.995204332975845e-15,4.668487818548783e-14
8.199999999999999,-4.402034292638746e-14,-2.797762022055394e-14,-3.223253186579456e-08,8.493206138382448e-15,-1.121325254871408e-14,-1.110223024625157e-15
8.300000000000001,-1.448841047135829e-14,1.426636586643326e-14,-4.91658564416575e-08,2.51465515077598e-14,-1.77635683940025e-14,-6.672440377997191e-14
8.4,4.585221091701897e-14,3.202993426043577e-14,-5.661554669522673e-08,4.496403249731884e-14,-2.359223927328458e-14,-1.116884362772907e-13
8.5,8.959499808725013e-14,1.754152378907747e-14,-5.956349269364836e-08,8.221201497349284e-14,-2.353672812205332e-14,-1.082467449009528e-13
8.6,8.08242361927114e-14,-1.681987882307112e-14,-6.216450720852862e-08,1.121880366383721e-13,-1.4210854715202e-14,-6.200595592531499e-14
8.699999999999999,2.498001805406602e-14,-5.007105841059456e-14,-6.513099348737228e-08,1.215139100452234e-13,2.331468351712829e-15,-3.33066907387547e-15
8.800000000000001,-3.819167204710538e-14,-6.533662499919046e-14,-6.611555269930847e-08,1.097455459841967e-13,2.037259250187162e-14,3.252953462151709e-14
8.9,-6.13398221105399e-14,-5.889733145636455e-14,-6.131677066090191e-08,8.204548151979907e-14,3.191891195797325e-14,2.631228568361621e-14
9,-3.030908857226677e-14,-4.024558464266192e-14,-4.893242161463363e-08,4.768407890765047e-14,3.397282455352979e-14,-1.015854067532018e-14
9.1,3.452793606584237e-14,-1.942890293094024e-14,-3.205903320591119e-08,1.770805724277125e-14,2.797762022055394e-14,-4.368727601899991e-14
9.199999999999999,8.931744233109384e-14,-7.16093850883226e-15,-1.651271364089268e-08,2.997602166487923e-15,1.765254609153999e-14,-4.490852134608758e-14
9.300000000000001,9.670042544485113e-14,-5.551115123125783e-16,-7.517894917707935e-09,5.273559366969494e-15,7.993605777301127e-15,-9.325873406851315e-15
9.4,5.290212712338871e-14,5.162537064506978e-15,-7.265420820523616e-09,1.865174681370263e-14,5.551115123125783e-17,4.64628335805628e-14
9.5,-1.387778780781446e-14,1.443289932012704e-14,-1.437245378266283e-08,3.169686735304822e-14,-4.884981308350689e-15,8.920642002863133e-14
9.6,-5.606626274357041e-14,3.186340080674199e-14,-2.596633474905019e-08,3.363975764614224e-14,-1.043609643147647e-14,9.54236689665322e-14
9.699999999999999,-4.141131881851834e-14,4.551914400963142e-14,-3.97951853692291e-08,2.575717417130363e-14,-1.820765760385257e-14,6.733502644351574e-14
9.800000000000001,2.242650509742816e-14,4.302114220422482e-14,-5.357240617787085e-08,1.298960938811433e-14,-2.620126338115369e-14,2.547961841514734e-14
9.9,9.35918009759007e-14,1.992850329202156e-14,-6.341803793219469e-08,-2.831068712794149e-15,-2.914335439641036e-14,-5.939693181744587e-15
10,1.219579992550734e-13,-1.093569679255779e-14,-6.409406211327351e-08,-3.719247132494274e-15,-2.420286193682841e-14,-1.260103132949553e-14
