t,z_ref_qutip,ADAPTIVE,DOUBLEADAPTIVE,DOUBLEFIXED,FIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
5.35,2.104952497028467e-13,-1.546440989613762e-05,-3.670614098338909e-06,-8.89194172234431e-05,0.006480019508926849,-7.216449660063518e-15,4.368727601899991e-14
5.4,-2.637297932123195e-13,-1.735236978056554e-05,-2.438332265652932e-06,-5.889553893645427e-05,0.006270112987811161,-9.214851104388799e-15,4.418687638008123e-14
5.45,-6.189454331007038e-13,-1.939561551761448e-05,-6.071179955990935e-07,-2.60241521068405e-05,0.005827094164185365,-1.010302952408892e-14,4.218847493575595e-14
5.5,3.227192818533453e-14,-2.105708939248441e-05,1.554132801673269e-06,-4.993710715051058e-06,0.005167176730405176,-1.06581410364015e-14,4.085620730620576e-14
5.55,-7.367695863125245e-13,-2.180299581833189e-05,3.698015748399008e-06,-3.546590504610592e-07,0.004338894821352135,-1.271205363195804e-14,4.052314039881821e-14
5.6,-9.665011846404781e-14,-2.118349460272784e-05,5.440671542733533e-06,-4.258764538245252e-06,0.003418212538754517,-1.343369859796439e-14,4.18554080283684e-14
5.65,-1.535111014000501e-13,-1.890530133341617e-05,6.412218042928242e-06,-1.528069069944848e-06,0.002499502158510747,-1.360023205165817e-14,4.246603069191224e-14
5.7,-4.404588672957122e-13,-1.488322196019354e-05,6.308173422731045e-06,2.198237487816002e-05,0.00168312078821331,-1.310063169057685e-14,4.068967385251199e-14
5.75,-2.061610430981187e-14,-9.264849880286086e-06,4.934224226371686e-06,7.377085127679983e-05,0.001061325046767148,-1.165734175856414e-14,3.946842852542432e-14
5.8,1.303858063184116e-12,-2.427557009632153e-06,2.237685393202682e-06,0.0001539143488087369,0.0007044588043446098,-1.13242748511766e-14,3.608224830031759e-14
5.85,-1.473376542299176e-13,5.051556952739844e-06,-1.679361552042735e-06,0.0002546171887553017,0.0006474553284140372,-8.659739592076221e-15,3.363975764614224e-14
5.9,6.212712636011197e-13,1.245191067106299e-05,-6.567257844314334e-06,0.0003607517242072977,0.0008772843625480253,-6.161737786669619e-15,3.180788965551073e-14
5.95,2.332046014630329e-12,1.89883646034561e-05,-1.205499104062202e-05,0.000452662955074512,0.001330657844025529,-4.662936703425657e-15,2.930988785010413e-14
6,3.518847106059875e-12,2.390496838289291e-05,-1.769143790464334e-05,0.0005098624133391128,0.001911133266891629,-2.275957200481571e-15,2.792210906932269e-14
6.05,1.396388430233153e-12,2.657090956559305e-05,-2.299629449320495e-05,0.0005158460835346101,0.002513895557909984,-1.110223024625157e-16,2.581268532253489e-14
6.1,1.75233373818362e-12,2.656338512924128e-05,-2.751524820487905e-05,0.0004632412012046672,0.003041513483428071,4.996003610813204e-16,2.775557561562891e-14
6.15,1.439009501835731e-12,2.372445801401835e-05,-3.087294217396508e-05,0.0003569706528250838,0.003409659558359035,1.77635683940025e-15,3.169686735304822e-14
6.2,4.360188425589495e-13,1.818554672761152e-05,-3.281682794903373e-05,0.0002125358031180857,0.003550334257715948,1.887379141862766e-15,3.61932706027801e-14
6.25,1.874329901355165e-12,1.036195373649296e-05,-3.324647016000881e-05,5.128508473511983e-05,0.0034196352837918,2.275957200481571e-15,4.279909759929978e-14
6.3,-1.406692687680455e-12,9.193125277140446e-07,-3.222446032286053e-05,-0.0001026956321610317,0.003007880370256177,2.442490654175344e-15,4.862776847858186e-14
6.35,-1.58451398703241e-12,-9.291152864188135e-06,-2.996703685581581e-05,-0.0002236465065941218,0.002340407272671596,2.331468351712829e-15,5.362377208939506e-14
6.4,-2.069418638186993e-12,-1.93253651216696e-05,-2.681574915758267e-05,-0.00028788405490765,0.001477178534648682,1.221245327087672e-15,6.039613253960852e-14
6.45,-3.736952153970963e-13,-2.825076172519037e-05,-2.319310461185164e-05,-0.0002844124471535481,0.000527345055610251,7.771561172376096e-16,6.661338147750939e-14
6.5,7.771036418524613e-13,-3.524532449339368e-05,-1.954672292903137e-05,-0.0002188735944816944,-0.000366401250846804,1.498801083243961e-15,7.038813976123492e-14
6.55,-5.993184898009374e-12,-3.968439027268733e-05,-1.628939433589993e-05,-0.0001056166763553357,-0.001073467557121011,1.998401444325282e-15,7.299716386910404e-14
6.6,-2.853977471017899e-12,-4.120530736717587e-05,-1.374435052492462e-05,3.882935349108774e-05,-0.001489574776102842,2.331468351712829e-15,7.355227538141662e-14
6.65,5.816036237685229e-12,-3.973950394914327e-05,-1.210264148682194e-05,0.0001969379669973792,-0.00154214943466735,1.77635683940025e-15,7.360778653264788e-14
6.7,-2.606882808578459e-12,-3.551127967676981e-05,-1.139624781953952e-05,0.000349485470046762,-0.001204363352132309,1.443289932012704e-15,7.116529587847253e-14
6.75,2.163461250426213e-12,-2.900837516939259e-05,-1.149051281268409e-05,0.000476701056638329,-0.0005071421967813849,0,6.705747068735946e-14
6.8,-3.656877101479439e-12,-2.09294667088411e-05,-1.209824178249885e-05,0.00056288102467561,0.0004597341438299929,3.33066907387547e-16,6.389333506717776e-14
6.85,5.051041833056824e-12,-1.211121408439819e-05,-1.28146020292319e-05,0.0006016094129928096,0.001557097912872396,1.110223024625157e-16,5.995204332975845e-14
6.9,2.296698855402957e-12,-3.439547005656962e-06,-1.316917367510939e-05,0.0005972935123806922,0.002613341965310767,-2.109423746787797e-15,5.490052856771399e-14
6.95,-5.987350589278795e-12,4.244758161797701e-06,-1.26895212904099e-05,0.0005626828685567631,0.003446876418926048,-2.55351295663786e-15,5.123679258645097e-14
7,4.775464312184452e-12,1.023345317707758e-05,-1.096824480967262e-05,0.0005148082613592453,0.003891289771733197,-4.773959005888173e-15,4.823919041996305e-14
7.05,9.322533630479191e-12,1.401975539178091e-05,-7.724628277638868e-06,0.0004720597417493533,0.003819032034211189,-6.161737786669619e-15,4.729550084903167e-14
7.1,5.39219818969372e-12,1.53418414041151e-05,-2.853411198766587e-06,0.0004525386724407721,0.003160773893947588,-8.992806499463768e-15,4.796163466380676e-14
7.15,1.963621604726684e-11,1.419793367501976e-05,3.545602573373774e-06,0.0004711509304579087,0.001918910121828321,-1.137978600240785e-14,4.818367926873179e-14
7.2,5.38147022603741e-12,1.082962695009293e-05,1.116250537608332e-05,0.0005352033193338768,0.0001723434179224381,-1.565414464721471e-14,5.051514762044462e-14
7.25,-1.401713359099055e-11,5.675178629149791e-06,1.949909797072102e-05,0.0006407498682732826,-0.001929497929891943,-1.959543638463401e-14,5.195843755245733e-14
7.3,2.756377786607145e-11,-6.944265854569309e-07,2.791459143230979e-05,0.0007723367383825064,-0.004183253901402395,-2.309263891220326e-14,5.578870698741412e-14
7.35,-1.00558541528406e-11,-7.645361177643917e-06,3.568930627395606e-05,0.0009068060991417881,-0.00635780700953309,-2.620126338115369e-14,6.084022174945858e-14
7.4,5.735646332882816e-15,-1.455186097981676e-05,4.209971426744064e-05,0.001019213658021156,-0.008225470242740118,-2.736699755701011e-14,6.561418075534675e-14
7.45,-1.370836885845883e-11,-2.086142650487011e-05,4.649646522980611e-05,0.001088024553156541,-0.009592212381143606,-2.864375403532904e-14,6.94999613415348e-14
7.5,-1.792897904792645e-11,-2.614644417542333e-05,4.837642820187948e-05,0.001098896008140227,-0.01032332254255514,-2.775557561562891e-14,7.205347429817266e-14
7.55,5.135090269670073e-12,-3.013732150197734e-05,4.744131766853954e-05,0.001048038116490346,-0.01036149096989492,-2.492450690283476e-14,7.360778653264788e-14
7.6,-1.545558147610093e-11,-3.27351527749653e-05,4.363649124095037e-05,0.0009430343366020333,-0.009734286142782211,-2.19824158875781e-14,7.427392034742297e-14
7.65,-7.077133800867386e-12,-3.400341846349075e-05,3.716487127908286e-05,0.0007972619108137513,-0.008549934411396065,-1.892930256985892e-14,7.271960811294775e-14
7.7,-2.062448931257344e-11,-3.414017965436278e-05,2.847456086541023e-05,0.0006224132087884193,-0.006982205856900736,-1.559863349598345e-14,7.222000775186643e-14
