gamma,method,t,meanZ1,meanZ2,varZ1,varZ2,theory_mean,theory_var
0.1,projector,71.0,-2.8468816680641296e-16,1.812786843919292e-16,3.076174943954906e-31,1.0830520231617974e-31,4.634860997992977e-13,4.634860997990828e-13
0.1,projector,72.0,-1.173657019022117e-16,7.137221228406486e-17,2.483375463689402e-31,4.041979064255536e-31,3.1068402375434455e-13,3.10684023754248e-13
0.1,projector,73.0,3.1398576067533046e-17,1.072093462262148e-16,8.017603778196292e-32,2.1267089349695814e-31,2.0825772910554945e-13,2.0825772910550608e-13
0.1,projector,74.0,-1.081683132210393e-16,4.686574308677066e-16,7.089049644432001e-32,2.8302455295488977e-31,1.395993305613098e-13,1.3959933056129032e-13
0.1,projector,75.0,5.547842016983341e-18,4.409018552520777e-16,3.2325404022597285e-32,3.5112685862170645e-31,9.357622968840175e-14,9.357622968839299e-14
0.1,projector,76.0,-1.3010344917473203e-17,2.680282752247506e-16,6.716733870406839e-32,5.599404228951197e-31,6.272602259257088e-14,6.272602259256694e-14
0.1,projector,77.0,-5.554388229268228e-18,1.6097906546450514e-16,3.4054665674156305e-32,6.788465394612087e-31,4.204651035188472e-14,4.2046510351882954e-14
0.1,projector,78.0,-2.5788501197332367e-16,5.178284557654109e-16,1.2890882193535817e-31,6.369443156367382e-31,2.8184618754713292e-14,2.8184618754712497e-14
0.1,projector,79.0,-1.0721589243849973e-16,3.6413866431085627e-16,9.979845476838347e-32,8.40951381307651e-31,1.8892714941156384e-14,1.8892714941156028e-14
0.1,projector,80.0,-1.1371942834416511e-16,-3.649546664189035e-18,6.600694729270004e-32,3.0559278342768775e-31,1.2664165549094176e-14,1.2664165549094015e-14
0.1,projector,81.0,-1.349714680541286e-16,1.2576753316067132e-16,9.985586026921384e-32,1.711494135940389e-31,8.489044033871777e-15,8.489044033871706e-15
0.1,projector,82.0,-1.8302666259718145e-16,7.295023470492052e-17,3.676215077846355e-32,1.4187045834596097e-31,5.6903763875834665e-15,5.690376387583434e-15
0.1,projector,83.0,-2.884978499365714e-16,4.250080631378462e-17,1.8093698394285028e-31,1.3967897350774907e-31,3.81437336208507e-15,3.8143733620850555e-15
0.1,projector,84.0,-2.8199431403090596e-16,1.6350950866790042e-16,1.3891036233531168e-31,1.4560657342503935e-31,2.5568509276699837e-15,2.556850927669977e-15
0.1,projector,85.0,-5.456200355486067e-17,1.9142849385564116e-16,1.2770059426479237e-32,1.261400717475521e-31,1.713908431542013e-15,1.7139084315420102e-15
0.1,projector,86.0,-9.437223019928075e-17,3.401927718253859e-16,1.4960325889999088e-32,2.2948008543088063e-31,1.1488671787321141e-15,1.148867178732113e-15
0.1,projector,87.0,-1.081683132210393e-16,2.607357281086575e-16,6.39178852506358e-32,1.6222157386955028e-31,7.701087001365414e-16,7.701087001365408e-16
0.1,projector,88.0,-2.5059246485723047e-16,3.040288187390124e-16,1.0598317441606264e-31,2.2881939309204958e-31,5.162192993279735e-16,5.162192993279732e-16
0.1,projector,89.0,-5.265716198978153e-17,-6.26435618813817e-17,3.0088715127460966e-31,3.6234409715650817e-31,3.4603214449001314e-16,3.4603214449001304e-16
0.1,projector,90.0,-1.9508131362597264e-16,-3.2731061425190673e-21,1.1348448535070035e-31,4.175637646859769e-31,2.319522830243569e-16,2.3195228302435686e-16
0.1,projector,91.0,-2.8468816680641296e-16,1.1926399725500592e-16,5.698394161483983e-32,4.712613460948134e-31,1.554822650349588e-16,1.5548226503495877e-16
0.1,projector,92.0,-2.892868611469991e-16,1.4051603696496943e-16,7.550427979606943e-32,4.2834954150785905e-31,1.0422287905595846e-16,1.0422287905595845e-16
0.1,projector,93.0,-3.84608239022677e-16,3.040288187390124e-16,4.215413208405765e-32,3.392574296682305e-31,6.986268508675704e-17,6.986268508675702e-17
0.1,projector,94.0,-3.503491275013828e-16,2.301228901454098e-16,1.987513279232747e-31,3.163631928640471e-31,4.683035828352842e-17,4.683035828352842e-17
